250, 3436544, 0, 0, 0
500, 3440640, 0, 0, 0
750, 3439036, 0, 0, 0
1000, 3439616, 0, 0, 0
1250, 3440128, 0, 0, 0
1500, 3440128, 0, 0, 0
1750, 3438592, 0, 0, 0
2000, 3438592, 0, 0, 0
2250, 3440640, 0, 0, 0
2500, 3440064, 0, 0, 0
2750, 3439616, 0, 0, 0
3000, 3438592, 0, 0, 0
3250, 3439616, 0, 0, 0
3500, 3439616, 0, 0, 0
3750, 3439616, 0, 0, 0
4000, 3439036, 0, 0, 0
4250, 3439616, 0, 0, 0
4500, 3439104, 0, 0, 0
4750, 3440128, 0, 0, 0
5000, 3439616, 0, 0, 0
5250, 3440640, 0, 0, 0
5500, 3439036, 0, 0, 0
5750, 3439616, 0, 0, 0
6000, 3439616, 0, 0, 0
6250, 3440640, 0, 0, 0
6500, 3438592, 0, 0, 0
6750, 3439616, 0, 0, 0
7000, 3439036, 0, 0, 0
7250, 3439616, 0, 0, 0
7500, 3438592, 0, 0, 0
7750, 3438592, 0, 0, 0
8000, 3438592, 0, 0, 0
8250, 3440640, 0, 0, 0
8500, 3440128, 0, 0, 0
8750, 3440578, 0, 0, 0
9000, 3439616, 0, 0, 0
9250, 3440640, 0, 0, 0
9500, 3440640, 0, 0, 0
9750, 3440128, 0, 0, 0
10000, 3439550, 0, 0, 0
10250, 3440128, 0, 0, 0
10500, 3440640, 0, 0, 0
10750, 3438592, 0, 0, 0
11000, 3440640, 0, 0, 0
11251, 3440640, 0, 0, 0
11500, 3439036, 0, 0, 0
11750, 3439616, 0, 0, 0
12000, 3440640, 0, 0, 0
12250, 3439616, 0, 0, 0
12500, 3440640, 0, 0, 0
12750, 3440064, 0, 0, 0
13000, 3440640, 0, 0, 0
13250, 3439616, 0, 0, 0
13500, 3439616, 0, 0, 0
13750, 3440640, 0, 0, 0
14000, 3439036, 0, 0, 0
14250, 3439616, 0, 0, 0
14500, 3439616, 0, 0, 0
14750, 3440640, 0, 0, 0
15000, 3439616, 0, 0, 0
15251, 3440640, 0, 0, 0
15500, 3440064, 0, 0, 0
15750, 3440640, 0, 0, 0
16000, 3440640, 0, 0, 0
16250, 3438592, 0, 0, 0
16500, 3440640, 0, 0, 0
16750, 3438008, 0, 0, 0
17000, 3439616, 0, 0, 0
17250, 3439616, 0, 0, 0
17500, 3439616, 0, 0, 0
17750, 3438592, 0, 0, 0
18000, 3439616, 0, 0, 0
18251, 3440640, 0, 0, 0
18500, 3438008, 0, 0, 0
18750, 3439616, 0, 0, 0
19000, 3438592, 0, 0, 0
19250, 3439616, 0, 0, 0
19500, 3440640, 0, 0, 0
19750, 3440640, 0, 0, 0
20000, 3439550, 0, 0, 0
20250, 3438592, 0, 0, 0
20500, 3438592, 0, 0, 0
20750, 3438592, 0, 0, 0
21000, 3439104, 0, 0, 0
21250, 3440128, 0, 0, 0
21500, 3440640, 0, 0, 0
21750, 3439036, 0, 0, 0
22000, 3438592, 0, 0, 0
22250, 3439616, 0, 0, 0
22500, 3439104, 0, 0, 0
22750, 3439104, 0, 0, 0
23000, 3440128, 0, 0, 0
23250, 3439616, 0, 0, 0
23500, 3440064, 0, 0, 0
23750, 3439616, 0, 0, 0
24000, 3440640, 0, 0, 0
24250, 3439616, 0, 0, 0
24500, 3440640, 0, 0, 0
24750, 3439550, 0, 0, 0
25000, 3439616, 0, 0, 0
25250, 3440640, 0, 0, 0
25500, 3440128, 0, 0, 0
25750, 3440640, 0, 0, 0
26001, 3440640, 0, 0, 0
26250, 3440578, 0, 0, 0
26500, 3439616, 0, 0, 0
26750, 3439104, 0, 0, 0
27000, 3440128, 0, 0, 0
27250, 3440128, 0, 0, 0
27500, 3439036, 0, 0, 0
27750, 3439616, 0, 0, 0
28000, 3439616, 0, 0, 0
28250, 3438592, 0, 0, 0
28500, 3439616, 0, 0, 0
28750, 3440640, 0, 0, 0
29000, 3439550, 0, 0, 0
29250, 3439104, 0, 0, 0
29500, 3439616, 0, 0, 0
29750, 3439104, 0, 0, 0
30000, 3439104, 0, 0, 0
30250, 3439104, 0, 0, 0
30500, 3439616, 0, 0, 0
30751, 3439616, 0, 0, 0
