250, 3431424, 0, 0, 0
500, 3080192, 0, 0, 0
750, 1277952, 0, 0, 0
1000, 2421760, 0, 0, 0
1250, 3425670, 0, 0, 0
1500, 1972224, 0, 0, 0
1750, 1513472, 0, 0, 0
2000, 3433472, 0, 0, 0
2250, 2875392, 0, 0, 0
2500, 1281536, 0, 0, 0
2750, 2631680, 0, 0, 0
3000, 3431325, 0, 0, 0
3250, 1752576, 0, 0, 0
3500, 1720320, 0, 0, 0
3750, 3431936, 0, 0, 0
4000, 2661376, 0, 0, 0
4250, 1310720, 0, 0, 0
4500, 2912256, 0, 0, 0
4750, 3410944, 0, 0, 0
5000, 1443469, 0, 0, 0
5250, 1793024, 0, 0, 0
5500, 3386368, 0, 0, 0
5750, 1303552, 0, 0, 0
6000, 2213376, 0, 0, 0
6250, 3426304, 0, 0, 0
6500, 2174464, 0, 0, 0
6750, 1285632, 0, 0, 0
7000, 3357184, 0, 0, 0
7250, 3155968, 0, 0, 0
7501, 1289216, 0, 0, 0
7750, 2383678, 0, 0, 0
8000, 3426304, 0, 0, 0
8250, 2003456, 0, 0, 0
8500, 1451008, 0, 0, 0
8750, 3432960, 0, 0, 0
9000, 2924544, 0, 0, 0
9250, 1290240, 0, 0, 0
9500, 2596864, 0, 0, 0
9750, 3112960, 0, 0, 0
10000, 2085376, 0, 0, 0
10250, 1608995, 0, 0, 0
10500, 3433472, 0, 0, 0
10750, 2100224, 0, 0, 0
11000, 1816576, 0, 0, 0
11250, 3018752, 0, 0, 0
11500, 2362368, 0, 0, 0
11750, 1287168, 0, 0, 0
12000, 3166208, 0, 0, 0
12250, 3354730, 0, 0, 0
12500, 1302016, 0, 0, 0
12750, 2201088, 0, 0, 0
13000, 3426304, 0, 0, 0
13250, 2158592, 0, 0, 0
13500, 1275904, 0, 0, 0
13750, 3334656, 0, 0, 0
14000, 3177984, 0, 0, 0
14250, 1310720, 0, 0, 0
14500, 2401156, 0, 0, 0
14750, 3405312, 0, 0, 0
15000, 1984512, 0, 0, 0
15250, 1346560, 0, 0, 0
15500, 3431936, 0, 0, 0
15750, 2812416, 0, 0, 0
16000, 1347584, 0, 0, 0
16250, 2780672, 0, 0, 0
16501, 3058688, 0, 0, 0
16750, 1953927, 0, 0, 0
17000, 1844224, 0, 0, 0
17250, 3430400, 0, 0, 0
17500, 1582080, 0, 0, 0
17750, 2286592, 0, 0, 0
18000, 3064832, 0, 0, 0
18250, 2334720, 0, 0, 0
18500, 1280000, 0, 0, 0
18750, 3205120, 0, 0, 0
19001, 3314176, 0, 0, 0
19250, 1303132, 0, 0, 0
19500, 2232832, 0, 0, 0
19750, 3404288, 0, 0, 0
20000, 2159616, 0, 0, 0
20250, 1287168, 0, 0, 0
20500, 3401728, 0, 0, 0
20750, 3086393, 0, 0, 0
21000, 1323008, 0, 0, 0
21250, 2418688, 0, 0, 0
21500, 3062784, 0, 0, 0
21750, 2166784, 0, 0, 0
22000, 1722368, 0, 0, 0
22251, 3430912, 0, 0, 0
22500, 2447421, 0, 0, 0
22750, 1546240, 0, 0, 0
23000, 2901504, 0, 0, 0
23250, 2496000, 0, 0, 0
23500, 2210816, 0, 0, 0
23750, 2226176, 0, 0, 0
24001, 3387392, 0, 0, 0
24250, 1293879, 0, 0, 0
24500, 2129408, 0, 0, 0
24750, 3425792, 0, 0, 0
25000, 2244096, 0, 0, 0
25250, 1282048, 0, 0, 0
25500, 3296256, 0, 0, 0
25750, 3210795, 0, 0, 0
26000, 1311744, 0, 0, 0
26250, 2352128, 0, 0, 0
26500, 3341312, 0, 0, 0
26750, 2096128, 0, 0, 0
27000, 1283072, 0, 0, 0
27250, 3433984, 0, 0, 0
27500, 2746602, 0, 0, 0
27750, 1463296, 0, 0, 0
28000, 2762752, 0, 0, 0
28250, 2852352, 0, 0, 0
28500, 2195456, 0, 0, 0
28750, 1810432, 0, 0, 0
